Date	Platform	Persona	Pain	Angle	Evidence	Hook	CTA	Campaign	Status	PostURL	Outcome
2026-07-20	LinkedIn	Solo dev using coding agents	Silent runaway loop / overnight token burn	Public 2026 burn incidents -> approve-before-run from your phone	dev.to $47k silent-loop post; HN 2026-06-12 $6,531 AWS bill (1,278 upvotes); PocketOS prod-DB deletion	An AI agent ran a silent loop for eleven days and burned $47,000 before anyone noticed.	Links in first comment (Play + GitHub; App Store held - iOS in review per engine spec)	launch-week-1	Posted	https://www.linkedin.com/feed/update/urn:li:share:7485024064420392960/	Posted 2026-07-20 ~2:00 PM ET; first comment verified rendered (Play + GitHub links)
2026-07-20	LinkedIn	Solo dev using coding agents	Silent runaway loop	Burn incidents -> approve from phone	$47k loop; $6,531 AWS; PocketOS 9s DB delete	An AI agent ran a silent loop for eleven days and burned $47,000 before anyone noticed.	First comment: Play + App Store + GitHub (all verified live)	launch-week-1	Published	https://www.linkedin.com/feed/update/urn:li:share:7485017143982542848	links verified on page; "Â·" mojibake in comment separators (cosmetic)
2026-07-20	X	Solo dev using coding agents	Away-from-laptop control	Store-first ad (corrected after mislinked GitHub-card v1 was deleted)	Live store pages verified	Your AI coding agent shouldn't need you at the laptop to be stopped.	Play + App Store links in post	launch-week-1	Published	https://x.com/IgorGanapolsky/status/2079255436683808993	v1 (github card) deleted per Igor correction; v2 verified on permalink
2026-07-20	Bluesky	Solo dev using coding agents	Away-from-laptop control	Store-first ad	Live store pages verified	Your AI coding agent shouldn't need you at the laptop to be stopped.	Play + App Store links in post	launch-week-1	Published	https://bsky.app/profile/did:plc:67posxdluf3h6sri6ciqivzx/post/3mr3svtya722t	"Your post was sent" toast + permalink
2026-07-20	Threads	Solo dev using coding agents	Away-from-laptop control	Store-first ad	Live store pages verified	Your AI coding agent shouldn't need you at the laptop to be stopped.	Play + App Store links + App Store card	launch-week-1	Published	https://www.threads.com/@igorganapolsky/post/DbBehcPFC6k	verified on profile 1:28 PM
2026-07-20	HackerNews	Show HN	Agent oversight	Show HN link post to Play listing	Play listing live	Show HN: Hermes Mobile - approve your AI agent's commands from your phone	Play listing as story URL	launch-week-1	Published	https://news.ycombinator.com/item?id=48981887	author context comment PENDING (comment form throttled for 3-karma account)
2026-07-20	Dev.to	AI automation builder	Outer-loop failures	Value-first article, soft plug at end	3 cited incidents	Your AI coding agent needs an outer loop - and it shouldn't require being at your laptop	Article links: Play + App Store + GitHub	launch-week-1	Published	https://dev.to/igorganapolsky/your-ai-coding-agent-needs-an-outer-loop-and-it-shouldnt-require-being-at-your-laptop-2hmj	published 17:32 UTC via first Publish click (extension dropped mid-verify); confirmed via public API
2026-07-20	YouTube	Solo dev using coding agents	Away-from-laptop control	Community text post	Live store pages verified	Your AI coding agent shouldn't need you at the laptop to be stopped.	Play + App Store URLs (plain text - channel needs one-time link verification)	launch-week-1	Published	https://www.youtube.com/channel/UC75jQv83ldY95t5FEGalCqQ/posts	verified in PUBLISHED tab; links unclickable until Igor does YT verification
2026-07-22	LinkedIn	Security engineer	Code/keys leaving your machine (credential leakage)	2026 credential-leak epidemic -> BYO gateway keeps keys local	GitGuardian 2026 report 28.6M secrets leaked (34% YoY); Claude Code commits leak ~2x baseline; JHU "Comment and Control" prompt-injection disclosure (Claude Code/Gemini CLI/Copilot)	GitGuardian's 2026 report: 28.6 million secrets leaked into public GitHub commits last year.	First comment: Play (.paid) + App Store + GitHub	post-everywhere-0722	Published	https://www.linkedin.com/feed/update/urn:li:share:7485786373095018496/	comment count 1->confirmed rendered with Play preview card
2026-07-22	X	Security engineer	Code/keys leaving your machine	Same GitGuardian/JHU evidence, store-first CTA	GitGuardian 2026 report; JHU Comment and Control	GitGuardian: 28.6M secrets leaked into public GitHub commits last year.	Android + iOS links in post	post-everywhere-0722	Published	https://x.com/IgorGanapolsky/status/2080022684810043459	verified via profile + permalink text match
2026-07-22	Bluesky	Security engineer	Code/keys leaving your machine	Same GitGuardian evidence, trimmed to fit 300 chars	GitGuardian 2026 report	GitGuardian: 28.6M secrets leaked into GitHub commits last year.	Play (.paid) link in post	post-everywhere-0722	Published	https://bsky.app/profile/did:plc:67posxdluf3h6sri6ciqivzx/post/3mrb5h2dyc22k	"Your post was sent" + permalink verified
2026-07-22	Threads	Security engineer	Code/keys leaving your machine	Same GitGuardian/JHU evidence	GitGuardian 2026 report; JHU Comment and Control	GitGuardian: 28.6M secrets leaked into public GitHub commits last year.	Android link in post (bad ad-injected link-preview image removed before posting)	post-everywhere-0722	Published	https://www.threads.com/@igorganapolsky/post/DbG9YEQlA5i	verified on profile, "1m" timestamp, permalink text match
2026-07-24	LinkedIn	Startup CTO	Unsupervised AI Agent Shell Risks	Deterministic Pre-Execution Gating (Oak and Sparrow Systems Gatekeeper)	P-256 signed JWK pairing + D1 90s renewable lease state machine	Why your AI agent should never grade its own homework.	First comment: Play (.paid) + thumbgate.app + GitHub	engine-v1.0	Drafted	Pending operator publish	Completed Content Engine v1.0 draft for LinkedIn, X, Reddit, Dev.to
